# /datac/proj/2008/wsafr/run.256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4/evo.Earth.dat
# Temporal profiles at EARTH
# 
# program = enlil
# version = 2.6
# observatory = gong
# corona = WSA_V1.6.1a
# shift_deg = 8.000
# coordinates = HEEQ
# run = 256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4
# 
#-------------------------------------------------------------------------------------------------------------
#     MJD        date   time      R    Lat     Lon       N      T   Vrad   Vthe   Vphi    Brad    Bthe    Bphi
#          yyyy-mm-dd  hh:mm     AU    deg     deg    cm-3     kK   km/s   km/s   km/s      nT      nT      nT
#-------------------------------------------------------------------------------------------------------------
54545.463  2008-03-20  11:06  0.994  -7.19    0.00    2.69   59.5  629.9   -1.0    0.9    2.72    0.01   -1.50
54545.465  2008-03-20  11:09  0.994  -7.19    0.00    2.69   59.5  629.7   -1.0    0.9    2.72    0.01   -1.50
54545.467  2008-03-20  11:12  0.994  -7.19    0.00    2.69   59.5  629.6   -1.0    0.9    2.72    0.01   -1.50
54545.469  2008-03-20  11:15  0.994  -7.19    0.00    2.69   59.4  629.5   -1.0    0.9    2.72    0.01   -1.50
54545.471  2008-03-20  11:18  0.994  -7.19    0.00    2.70   59.4  629.4   -1.0    0.9    2.72    0.01   -1.50
54545.473  2008-03-20  11:21  0.994  -7.19    0.00    2.70   59.4  629.2   -1.0    0.9    2.72    0.01   -1.50
54545.475  2008-03-20  11:24  0.994  -7.19    0.00    2.70   59.4  629.1   -1.0    0.9    2.72    0.01   -1.50
54545.477  2008-03-20  11:27  0.994  -7.19    0.00    2.70   59.4  629.0   -1.0    0.9    2.72    0.01   -1.50
54545.479  2008-03-20  11:30  0.994  -7.19    0.00    2.70   59.4  628.9   -1.0    0.9    2.72    0.01   -1.50
54545.481  2008-03-20  11:33  0.994  -7.19    0.00    2.70   59.3  628.7   -1.0    0.9    2.72    0.01   -1.50
54545.483  2008-03-20  11:36  0.994  -7.19    0.00    2.70   59.3  628.6   -1.0    0.9    2.72    0.01   -1.50
54545.485  2008-03-20  11:39  0.994  -7.19    0.00    2.71   59.3  628.5   -1.0    0.9    2.72    0.01   -1.50
54545.488  2008-03-20  11:42  0.994  -7.19    0.00    2.71   59.3  628.4   -1.0    0.9    2.72    0.01   -1.50
54545.490  2008-03-20  11:44  0.994  -7.19    0.00    2.71   59.3  628.2   -1.0    0.9    2.72    0.01   -1.50
54545.492  2008-03-20  11:47  0.994  -7.19    0.00    2.71   59.3  628.1   -1.0    0.9    2.72    0.01   -1.50
54545.494  2008-03-20  11:50  0.994  -7.19    0.00    2.71   59.2  628.0   -1.0    0.9    2.72    0.01   -1.50
54545.496  2008-03-20  11:53  0.994  -7.19    0.00    2.71   59.2  627.9   -1.0    0.9    2.72    0.01   -1.50
54545.498  2008-03-20  11:56  0.994  -7.19    0.00    2.71   59.2  627.7   -1.0    0.9    2.72    0.01   -1.50
54545.500  2008-03-20  11:59  0.994  -7.19    0.00    2.72   59.2  627.6   -1.0    0.9    2.72    0.01   -1.50
54545.502  2008-03-20  12:02  0.994  -7.19    0.00    2.72   59.2  627.5   -0.9    0.9    2.72    0.01   -1.50
54545.504  2008-03-20  12:05  0.994  -7.19    0.00    2.72   59.2  627.4   -0.9    0.9    2.72    0.01   -1.50
54545.506  2008-03-20  12:08  0.994  -7.19    0.00    2.72   59.2  627.2   -0.9    0.9    2.72    0.01   -1.50
54545.508  2008-03-20  12:11  0.994  -7.19    0.00    2.72   59.1  627.1   -0.9    0.9    2.72    0.01   -1.50
54545.510  2008-03-20  12:14  0.994  -7.19    0.00    2.72   59.1  627.0   -0.9    0.9    2.72    0.01   -1.51
54545.512  2008-03-20  12:17  0.994  -7.19    0.00    2.72   59.1  626.9   -0.9    0.9    2.72    0.01   -1.51
54545.514  2008-03-20  12:20  0.994  -7.19    0.00    2.72   59.1  626.7   -0.9    0.9    2.72    0.01   -1.51
54545.517  2008-03-20  12:23  0.994  -7.19    0.00    2.73   59.1  626.6   -0.9    0.9    2.72    0.01   -1.51
54545.519  2008-03-20  12:26  0.994  -7.19    0.00    2.73   59.1  626.5   -0.9    0.9    2.72    0.01   -1.51
54545.521  2008-03-20  12:29  0.994  -7.19    0.00    2.73   59.1  626.4   -0.9    0.9    2.72    0.01   -1.51
54545.523  2008-03-20  12:32  0.994  -7.19    0.00    2.73   59.0  626.3   -0.9    0.9    2.72    0.01   -1.51
54545.525  2008-03-20  12:35  0.994  -7.19    0.00    2.73   59.0  626.1   -0.9    0.9    2.72    0.01   -1.51
54545.527  2008-03-20  12:38  0.994  -7.19    0.00    2.73   59.0  626.0   -0.9    0.9    2.72    0.01   -1.51
54545.529  2008-03-20  12:41  0.994  -7.19    0.00    2.73   59.0  625.9   -0.9    0.9    2.72    0.01   -1.51
54545.531  2008-03-20  12:44  0.994  -7.19    0.00    2.73   59.0  625.8   -0.9    0.9    2.72    0.01   -1.51
54545.533  2008-03-20  12:47  0.994  -7.19    0.00    2.74   59.0  625.6   -0.9    0.9    2.72    0.01   -1.51
54545.535  2008-03-20  12:50  0.994  -7.19    0.00    2.74   59.0  625.5   -0.9    0.9    2.72    0.01   -1.51
54545.537  2008-03-20  12:53  0.994  -7.19    0.00    2.74   58.9  625.4   -0.9    0.9    2.72    0.01   -1.51
54545.539  2008-03-20  12:56  0.994  -7.19    0.00    2.74   58.9  625.3   -0.9    0.9    2.72    0.01   -1.51
54545.541  2008-03-20  12:59  0.994  -7.19    0.00    2.74   58.9  625.1   -0.9    0.9    2.72    0.01   -1.51
54545.543  2008-03-20  13:02  0.994  -7.19    0.00    2.74   58.9  625.0   -0.9    0.9    2.72    0.01   -1.51
54545.545  2008-03-20  13:05  0.994  -7.19    0.00    2.74   58.9  624.9   -0.9    0.9    2.72    0.01   -1.51
54545.548  2008-03-20  13:08  0.994  -7.19    0.00    2.75   58.9  624.8   -0.9    0.9    2.72    0.01   -1.51
54545.550  2008-03-20  13:11  0.994  -7.19    0.00    2.75   58.9  624.7   -0.9    0.9    2.72    0.01   -1.51
54545.552  2008-03-20  13:14  0.994  -7.19    0.00    2.75   58.8  624.5   -0.9    0.9    2.72    0.01   -1.51
54545.554  2008-03-20  13:17  0.994  -7.19    0.00    2.75   58.8  624.4   -0.9    0.9    2.72    0.01   -1.51
54545.556  2008-03-20  13:20  0.994  -7.19    0.00    2.75   58.8  624.3   -0.9    0.9    2.72    0.01   -1.51
54545.558  2008-03-20  13:23  0.994  -7.19    0.00    2.75   58.8  624.2   -0.9    0.9    2.72    0.01   -1.51
54545.560  2008-03-20  13:26  0.994  -7.19    0.00    2.75   58.8  624.1   -0.9    0.9    2.72    0.01   -1.51
54545.562  2008-03-20  13:29  0.994  -7.19    0.00    2.76   58.8  623.9   -0.9    0.9    2.72    0.01   -1.51
54545.564  2008-03-20  13:32  0.994  -7.19    0.00    2.76   58.8  623.8   -0.9    0.9    2.72    0.01   -1.51
54545.566  2008-03-20  13:35  0.994  -7.19    0.00    2.76   58.7  623.7   -0.9    0.9    2.72    0.01   -1.51
54545.568  2008-03-20  13:38  0.994  -7.19    0.00    2.76   58.7  623.6   -0.8    0.9    2.72    0.01   -1.51
54545.570  2008-03-20  13:41  0.994  -7.19    0.00    2.76   58.7  623.5   -0.8    0.9    2.72    0.01   -1.51
54545.572  2008-03-20  13:44  0.994  -7.19    0.00    2.76   58.7  623.3   -0.8    0.9    2.72    0.01   -1.51
54545.574  2008-03-20  13:47  0.994  -7.19    0.00    2.76   58.7  623.2   -0.8    0.9    2.72    0.01   -1.51
54545.576  2008-03-20  13:50  0.994  -7.19    0.00    2.77   58.7  623.1   -0.8    0.9    2.72    0.01   -1.51
54545.579  2008-03-20  13:53  0.994  -7.19    0.00    2.77   58.7  623.0   -0.8    0.9    2.72    0.01   -1.51
54545.581  2008-03-20  13:56  0.994  -7.19    0.00    2.77   58.7  622.9   -0.8    0.9    2.72    0.01   -1.51
54545.583  2008-03-20  13:59  0.994  -7.19    0.00    2.77   58.6  622.7   -0.8    0.9    2.72    0.01   -1.51
54545.585  2008-03-20  14:02  0.994  -7.19    0.00    2.77   58.6  622.6   -0.8    0.9    2.72    0.01   -1.51
54545.587  2008-03-20  14:05  0.994  -7.19    0.00    2.77   58.6  622.5   -0.8    0.9    2.72    0.01   -1.51
54545.589  2008-03-20  14:08  0.994  -7.19    0.00    2.77   58.6  622.4   -0.8    0.9    2.72    0.01   -1.51
54545.591  2008-03-20  14:10  0.994  -7.19    0.00    2.78   58.6  622.2   -0.8    0.9    2.72    0.01   -1.51
54545.593  2008-03-20  14:13  0.994  -7.19    0.00    2.78   58.6  622.1   -0.8    0.9    2.72    0.01   -1.51
54545.595  2008-03-20  14:16  0.994  -7.19    0.00    2.78   58.6  622.0   -0.8    0.9    2.72    0.01   -1.51
54545.597  2008-03-20  14:19  0.994  -7.19    0.00    2.78   58.6  621.9   -0.8    0.9    2.72    0.01   -1.51
54545.599  2008-03-20  14:22  0.994  -7.19    0.00    2.78   58.5  621.8   -0.8    0.9    2.72    0.01   -1.51
54545.601  2008-03-20  14:25  0.994  -7.19    0.00    2.78   58.5  621.6   -0.8    0.9    2.72    0.01   -1.51
54545.603  2008-03-20  14:28  0.994  -7.19    0.00    2.78   58.5  621.5   -0.8    0.9    2.72    0.01   -1.52
54545.605  2008-03-20  14:31  0.994  -7.19    0.00    2.79   58.5  621.4   -0.8    0.9    2.72    0.01   -1.52
54545.608  2008-03-20  14:34  0.994  -7.19    0.00    2.79   58.5  621.3   -0.8    0.9    2.72    0.01   -1.52
54545.610  2008-03-20  14:37  0.994  -7.19    0.00    2.79   58.5  621.1   -0.8    0.9    2.71    0.01   -1.52
54545.612  2008-03-20  14:40  0.994  -7.19    0.00    2.79   58.5  621.0   -0.8    0.9    2.71    0.01   -1.52
54545.614  2008-03-20  14:43  0.994  -7.19    0.00    2.79   58.5  620.9   -0.8    0.9    2.71    0.01   -1.52
54545.616  2008-03-20  14:46  0.994  -7.19    0.00    2.79   58.4  620.8   -0.8    0.9    2.71    0.01   -1.52
54545.618  2008-03-20  14:49  0.994  -7.19    0.00    2.79   58.4  620.7   -0.8    0.9    2.71    0.01   -1.52
54545.620  2008-03-20  14:52  0.994  -7.19    0.00    2.80   58.4  620.5   -0.8    0.9    2.71    0.01   -1.52
54545.622  2008-03-20  14:55  0.994  -7.19    0.00    2.80   58.4  620.4   -0.7    0.9    2.71    0.01   -1.52
54545.624  2008-03-20  14:58  0.994  -7.19    0.00    2.80   58.4  620.3   -0.7    0.9    2.71    0.01   -1.52
54545.626  2008-03-20  15:01  0.994  -7.19    0.00    2.80   58.4  620.2   -0.7    0.9    2.71    0.01   -1.52
54545.628  2008-03-20  15:04  0.994  -7.19    0.00    2.80   58.4  620.1   -0.7    0.9    2.71    0.01   -1.52
54545.630  2008-03-20  15:07  0.994  -7.19    0.00    2.80   58.4  619.9   -0.7    0.9    2.71    0.01   -1.52
54545.632  2008-03-20  15:10  0.994  -7.19    0.00    2.80   58.3  619.8   -0.7    0.9    2.71    0.01   -1.52
54545.635  2008-03-20  15:13  0.994  -7.19    0.00    2.80   58.3  619.7   -0.7    0.9    2.71    0.01   -1.52
54545.637  2008-03-20  15:16  0.994  -7.19    0.00    2.81   58.3  619.6   -0.7    0.9    2.71    0.01   -1.52
54545.639  2008-03-20  15:19  0.994  -7.19    0.00    2.81   58.3  619.4   -0.7    0.9    2.71    0.01   -1.52
54545.641  2008-03-20  15:22  0.994  -7.19    0.00    2.81   58.3  619.3   -0.7    0.9    2.71    0.01   -1.52
54545.643  2008-03-20  15:25  0.994  -7.19    0.00    2.81   58.3  619.2   -0.7    0.9    2.71    0.01   -1.52
54545.645  2008-03-20  15:28  0.994  -7.19    0.00    2.81   58.3  619.1   -0.7    0.9    2.71    0.01   -1.52
54545.647  2008-03-20  15:31  0.994  -7.19    0.00    2.81   58.2  619.0   -0.7    0.9    2.71    0.01   -1.52
54545.649  2008-03-20  15:34  0.994  -7.19    0.00    2.81   58.2  618.8   -0.7    0.9    2.71    0.01   -1.52
54545.651  2008-03-20  15:37  0.994  -7.19    0.00    2.81   58.2  618.7   -0.7    0.9    2.71    0.01   -1.52
54545.653  2008-03-20  15:40  0.994  -7.19    0.00    2.82   58.2  618.6   -0.7    0.9    2.71    0.01   -1.52
54545.655  2008-03-20  15:43  0.994  -7.19    0.00    2.82   58.2  618.5   -0.7    0.9    2.71    0.01   -1.52
54545.657  2008-03-20  15:46  0.994  -7.19    0.00    2.82   58.2  618.4   -0.7    0.9    2.71    0.01   -1.52
54545.659  2008-03-20  15:49  0.994  -7.19    0.00    2.82   58.2  618.2   -0.7    0.9    2.71    0.01   -1.52
54545.661  2008-03-20  15:52  0.994  -7.19    0.00    2.82   58.2  618.1   -0.6    0.9    2.71    0.01   -1.52
54545.664  2008-03-20  15:55  0.994  -7.19    0.00    2.82   58.1  618.0   -0.6    0.9    2.71    0.01   -1.52
54545.666  2008-03-20  15:58  0.994  -7.19    0.00    2.82   58.1  617.9   -0.6    0.9    2.71    0.01   -1.52
54545.668  2008-03-20  16:01  0.994  -7.19    0.00    2.82   58.1  617.7   -0.6    0.9    2.71    0.01   -1.52
54545.670  2008-03-20  16:04  0.994  -7.19    0.00    2.83   58.1  617.6   -0.6    0.9    2.71    0.01   -1.52
54545.672  2008-03-20  16:07  0.994  -7.19    0.00    2.83   58.1  617.5   -0.6    0.8    2.71    0.01   -1.52
54545.674  2008-03-20  16:10  0.994  -7.19    0.00    2.83   58.1  617.4   -0.6    0.8    2.71    0.01   -1.52
54545.676  2008-03-20  16:13  0.994  -7.19    0.00    2.83   58.0  617.3   -0.6    0.8    2.71    0.01   -1.52
54545.678  2008-03-20  16:16  0.994  -7.19    0.00    2.83   58.0  617.1   -0.6    0.8    2.71    0.01   -1.52
54545.680  2008-03-20  16:19  0.994  -7.19    0.00    2.83   58.0  617.0   -0.6    0.8    2.71    0.01   -1.52
54545.682  2008-03-20  16:22  0.994  -7.19    0.00    2.83   58.0  616.9   -0.6    0.8    2.71    0.01   -1.52
54545.684  2008-03-20  16:25  0.994  -7.19    0.00    2.83   58.0  616.8   -0.6    0.8    2.71    0.01   -1.52
54545.686  2008-03-20  16:28  0.994  -7.19    0.00    2.84   58.0  616.7   -0.6    0.8    2.71    0.01   -1.52
54545.688  2008-03-20  16:31  0.994  -7.19    0.00    2.84   58.0  616.5   -0.6    0.8    2.71    0.01   -1.52
54545.690  2008-03-20  16:34  0.994  -7.19    0.00    2.84   58.0  616.4   -0.6    0.8    2.71    0.01   -1.52
54545.693  2008-03-20  16:37  0.994  -7.19    0.00    2.84   57.9  616.3   -0.6    0.8    2.71    0.01   -1.52
54545.695  2008-03-20  16:40  0.994  -7.19    0.00    2.84   57.9  616.2   -0.6    0.8    2.71    0.01   -1.52
54545.697  2008-03-20  16:43  0.994  -7.19    0.00    2.84   57.9  616.1   -0.6    0.8    2.71    0.01   -1.52
54545.699  2008-03-20  16:46  0.994  -7.19    0.00    2.84   57.9  615.9   -0.5    0.8    2.71    0.01   -1.52
54545.701  2008-03-20  16:49  0.994  -7.19    0.00    2.85   57.9  615.8   -0.5    0.8    2.71    0.01   -1.52
54545.703  2008-03-20  16:52  0.994  -7.19    0.00    2.85   57.9  615.7   -0.5    0.8    2.71    0.01   -1.52
54545.705  2008-03-20  16:55  0.994  -7.19    0.00    2.85   57.9  615.6   -0.5    0.8    2.71    0.01   -1.52
54545.707  2008-03-20  16:58  0.994  -7.19    0.00    2.85   57.8  615.5   -0.5    0.8    2.71    0.01   -1.52
54545.709  2008-03-20  17:01  0.994  -7.19    0.00    2.85   57.8  615.4   -0.5    0.8    2.71    0.01   -1.52
54545.711  2008-03-20  17:04  0.994  -7.19    0.00    2.85   57.8  615.2   -0.5    0.8    2.71    0.01   -1.52
54545.713  2008-03-20  17:07  0.994  -7.19    0.00    2.85   57.8  615.1   -0.5    0.8    2.71    0.01   -1.52
54545.715  2008-03-20  17:09  0.994  -7.19    0.00    2.86   57.8  615.0   -0.5    0.8    2.71    0.01   -1.52
54545.717  2008-03-20  17:12  0.994  -7.19    0.00    2.86   57.8  614.9   -0.5    0.8    2.71    0.01   -1.52
54545.719  2008-03-20  17:15  0.994  -7.19    0.00    2.86   57.8  614.8   -0.5    0.8    2.71    0.01   -1.52
54545.721  2008-03-20  17:18  0.994  -7.19    0.00    2.86   57.8  614.7   -0.5    0.8    2.71    0.01   -1.52
54545.724  2008-03-20  17:21  0.994  -7.19    0.00    2.86   57.7  614.6   -0.5    0.8    2.71    0.01   -1.52
54545.726  2008-03-20  17:24  0.994  -7.19    0.00    2.86   57.7  614.4   -0.5    0.8    2.71    0.01   -1.53
54545.728  2008-03-20  17:27  0.994  -7.19    0.00    2.87   57.7  614.3   -0.5    0.8    2.71    0.01   -1.53
54545.730  2008-03-20  17:30  0.994  -7.19    0.00    2.87   57.7  614.2   -0.5    0.8    2.71    0.01   -1.53
54545.732  2008-03-20  17:33  0.994  -7.19    0.00    2.87   57.7  614.1   -0.5    0.8    2.71    0.01   -1.53
54545.734  2008-03-20  17:36  0.994  -7.19    0.00    2.87   57.7  614.0   -0.4    0.7    2.71    0.01   -1.53
54545.736  2008-03-20  17:39  0.994  -7.19    0.00    2.87   57.7  613.9   -0.4    0.7    2.71    0.01   -1.53
54545.738  2008-03-20  17:42  0.994  -7.19    0.00    2.87   57.7  613.7   -0.4    0.7    2.71    0.01   -1.53
54545.740  2008-03-20  17:45  0.994  -7.19    0.00    2.88   57.6  613.6   -0.4    0.7    2.71    0.01   -1.53
54545.742  2008-03-20  17:48  0.994  -7.19    0.00    2.88   57.6  613.5   -0.4    0.7    2.71    0.01   -1.53
54545.744  2008-03-20  17:51  0.994  -7.19    0.00    2.88   57.6  613.4   -0.4    0.7    2.71    0.01   -1.53
54545.746  2008-03-20  17:54  0.994  -7.19    0.00    2.88   57.6  613.3   -0.4    0.7    2.70    0.01   -1.53
54545.748  2008-03-20  17:57  0.994  -7.19    0.00    2.88   57.6  613.2   -0.4    0.7    2.70    0.01   -1.53
54545.750  2008-03-20  18:00  0.994  -7.19    0.00    2.88   57.6  613.0   -0.4    0.7    2.70    0.01   -1.53
54545.753  2008-03-20  18:03  0.994  -7.19    0.00    2.88   57.6  612.9   -0.4    0.7    2.70    0.01   -1.53
54545.755  2008-03-20  18:06  0.994  -7.19    0.00    2.89   57.6  612.8   -0.4    0.7    2.70    0.01   -1.53
54545.757  2008-03-20  18:09  0.994  -7.19    0.00    2.89   57.5  612.7   -0.4    0.7    2.70    0.01   -1.53
54545.759  2008-03-20  18:12  0.994  -7.19    0.00    2.89   57.5  612.6   -0.4    0.7    2.70    0.01   -1.53
54545.761  2008-03-20  18:15  0.994  -7.19    0.00    2.89   57.5  612.4   -0.4    0.7    2.70    0.01   -1.53
54545.763  2008-03-20  18:18  0.994  -7.19    0.00    2.89   57.5  612.3   -0.4    0.7    2.70    0.01   -1.53
54545.765  2008-03-20  18:21  0.994  -7.19    0.00    2.89   57.5  612.2   -0.4    0.7    2.70    0.01   -1.53
54545.767  2008-03-20  18:24  0.994  -7.19    0.00    2.89   57.5  612.1   -0.3    0.7    2.70    0.01   -1.53
54545.769  2008-03-20  18:27  0.994  -7.19    0.00    2.90   57.5  612.0   -0.3    0.7    2.70    0.01   -1.53
54545.771  2008-03-20  18:30  0.994  -7.19    0.00    2.90   57.5  611.9   -0.3    0.7    2.70    0.01   -1.53
54545.773  2008-03-20  18:33  0.994  -7.19    0.00    2.90   57.4  611.7   -0.3    0.7    2.70    0.01   -1.53
54545.775  2008-03-20  18:36  0.994  -7.19    0.00    2.90   57.4  611.6   -0.3    0.7    2.70    0.01   -1.53
54545.777  2008-03-20  18:39  0.994  -7.19    0.00    2.90   57.4  611.5   -0.3    0.7    2.70    0.01   -1.53
54545.779  2008-03-20  18:42  0.994  -7.19    0.00    2.90   57.4  611.4   -0.3    0.6    2.70    0.01   -1.53
54545.782  2008-03-20  18:45  0.994  -7.19    0.00    2.90   57.4  611.3   -0.3    0.6    2.70    0.01   -1.53
54545.784  2008-03-20  18:48  0.994  -7.19    0.00    2.91   57.4  611.1   -0.3    0.6    2.70    0.01   -1.53
54545.786  2008-03-20  18:51  0.994  -7.19    0.00    2.91   57.4  611.0   -0.3    0.6    2.70    0.01   -1.53
54545.788  2008-03-20  18:54  0.994  -7.19    0.00    2.91   57.4  610.9   -0.3    0.6    2.70    0.01   -1.53
54545.790  2008-03-20  18:57  0.994  -7.19    0.00    2.91   57.4  610.8   -0.3    0.6    2.70    0.01   -1.53
54545.792  2008-03-20  19:00  0.994  -7.19    0.00    2.91   57.3  610.7   -0.3    0.6    2.70    0.01   -1.53
54545.794  2008-03-20  19:03  0.994  -7.19    0.00    2.91   57.3  610.6   -0.3    0.6    2.70    0.01   -1.53
54545.796  2008-03-20  19:06  0.994  -7.19    0.00    2.91   57.3  610.4   -0.2    0.6    2.70    0.01   -1.53
54545.798  2008-03-20  19:09  0.994  -7.19    0.00    2.91   57.3  610.3   -0.2    0.6    2.70    0.01   -1.53
54545.800  2008-03-20  19:12  0.994  -7.19    0.00    2.92   57.3  610.2   -0.2    0.6    2.70    0.01   -1.53
54545.802  2008-03-20  19:15  0.994  -7.19    0.00    2.92   57.3  610.1   -0.2    0.6    2.70    0.01   -1.53
54545.804  2008-03-20  19:18  0.994  -7.19    0.00    2.92   57.3  610.0   -0.2    0.6    2.70    0.01   -1.53
54545.806  2008-03-20  19:21  0.994  -7.19    0.00    2.92   57.3  609.8   -0.2    0.6    2.70    0.01   -1.53
54545.809  2008-03-20  19:24  0.994  -7.19    0.00    2.92   57.2  609.7   -0.2    0.6    2.70    0.01   -1.53
54545.811  2008-03-20  19:27  0.994  -7.19    0.00    2.92   57.2  609.6   -0.2    0.6    2.70    0.01   -1.53
54545.813  2008-03-20  19:30  0.994  -7.19    0.00    2.92   57.2  609.5   -0.2    0.6    2.70    0.01   -1.53
54545.815  2008-03-20  19:33  0.994  -7.19    0.00    2.92   57.2  609.4   -0.2    0.6    2.70    0.01   -1.53
54545.817  2008-03-20  19:36  0.994  -7.19    0.00    2.93   57.2  609.3   -0.2    0.6    2.70    0.01   -1.53
54545.819  2008-03-20  19:39  0.994  -7.19    0.00    2.93   57.2  609.1   -0.2    0.6    2.70    0.01   -1.53
54545.821  2008-03-20  19:42  0.994  -7.19    0.00    2.93   57.2  609.0   -0.2    0.6    2.70    0.01   -1.53
54545.823  2008-03-20  19:45  0.994  -7.19    0.00    2.93   57.2  608.9   -0.1    0.6    2.70    0.01   -1.53
54545.825  2008-03-20  19:48  0.994  -7.19    0.00    2.93   57.1  608.8   -0.1    0.5    2.70    0.01   -1.53
54545.827  2008-03-20  19:51  0.994  -7.19    0.00    2.93   57.1  608.7   -0.1    0.5    2.70    0.01   -1.53
54545.829  2008-03-20  19:54  0.994  -7.19    0.00    2.93   57.1  608.5   -0.1    0.5    2.70    0.01   -1.53
54545.831  2008-03-20  19:57  0.994  -7.19    0.00    2.93   57.1  608.4   -0.1    0.5    2.70    0.01   -1.53
54545.833  2008-03-20  20:00  0.994  -7.19    0.00    2.94   57.1  608.3   -0.1    0.5    2.70    0.01   -1.53
54545.835  2008-03-20  20:03  0.994  -7.19    0.00    2.94   57.1  608.2   -0.1    0.5    2.70    0.01   -1.53
54545.837  2008-03-20  20:05  0.994  -7.19    0.00    2.94   57.1  608.1   -0.1    0.5    2.70    0.01   -1.53
54545.840  2008-03-20  20:08  0.994  -7.19    0.00    2.94   57.0  607.9   -0.1    0.5    2.70    0.01   -1.53
54545.842  2008-03-20  20:11  0.994  -7.19    0.00    2.94   57.0  607.8   -0.1    0.5    2.70    0.01   -1.53
54545.844  2008-03-20  20:14  0.994  -7.19    0.00    2.94   57.0  607.7   -0.1    0.5    2.70    0.01   -1.53
54545.846  2008-03-20  20:17  0.994  -7.19    0.00    2.94   57.0  607.6   -0.1    0.5    2.70    0.01   -1.53
54545.848  2008-03-20  20:20  0.994  -7.19    0.00    2.94   57.0  607.4   -0.0    0.5    2.70    0.01   -1.53
54545.850  2008-03-20  20:23  0.994  -7.19    0.00    2.95   57.0  607.3   -0.0    0.5    2.70    0.01   -1.53
54545.852  2008-03-20  20:26  0.994  -7.19    0.00    2.95   57.0  607.2   -0.0    0.5    2.70    0.01   -1.53
54545.854  2008-03-20  20:29  0.994  -7.19    0.00    2.95   56.9  607.1   -0.0    0.5    2.70    0.01   -1.53
54545.856  2008-03-20  20:32  0.994  -7.19    0.00    2.95   56.9  607.0   -0.0    0.5    2.70    0.01   -1.53
54545.858  2008-03-20  20:35  0.994  -7.19    0.00    2.95   56.9  606.8   -0.0    0.5    2.69    0.01   -1.53
54545.860  2008-03-20  20:38  0.994  -7.19    0.00    2.95   56.9  606.7    0.0    0.5    2.69    0.01   -1.53
54545.862  2008-03-20  20:41  0.994  -7.19    0.00    2.95   56.9  606.6    0.0    0.5    2.69    0.01   -1.53
54545.864  2008-03-20  20:44  0.994  -7.19    0.00    2.95   56.9  606.5    0.0    0.5    2.69    0.01   -1.54
54545.866  2008-03-20  20:47  0.994  -7.19    0.00    2.96   56.9  606.4    0.0    0.4    2.69    0.01   -1.54
54545.869  2008-03-20  20:50  0.994  -7.19    0.00    2.96   56.9  606.2    0.0    0.4    2.69    0.01   -1.54
54545.871  2008-03-20  20:53  0.994  -7.19    0.00    2.96   56.8  606.1    0.0    0.4    2.69    0.01   -1.54
54545.873  2008-03-20  20:56  0.994  -7.19    0.00    2.96   56.8  606.0    0.1    0.4    2.69    0.01   -1.54
54545.875  2008-03-20  20:59  0.994  -7.19    0.00    2.96   56.8  605.9    0.1    0.4    2.69    0.01   -1.54
54545.877  2008-03-20  21:02  0.994  -7.19    0.00    2.96   56.8  605.8    0.1    0.4    2.69    0.01   -1.54
54545.879  2008-03-20  21:05  0.994  -7.19    0.00    2.96   56.8  605.6    0.1    0.4    2.69    0.01   -1.54
54545.881  2008-03-20  21:08  0.994  -7.19    0.00    2.97   56.8  605.5    0.1    0.4    2.69    0.01   -1.54
54545.883  2008-03-20  21:11  0.994  -7.19    0.00    2.97   56.8  605.4    0.1    0.4    2.69    0.01   -1.54
54545.885  2008-03-20  21:14  0.994  -7.19    0.00    2.97   56.7  605.3    0.1    0.4    2.69    0.01   -1.54
54545.887  2008-03-20  21:17  0.994  -7.19    0.00    2.97   56.7  605.2    0.1    0.4    2.69    0.01   -1.54
54545.889  2008-03-20  21:20  0.994  -7.19    0.00    2.97   56.7  605.0    0.1    0.4    2.69    0.01   -1.54
54545.891  2008-03-20  21:23  0.994  -7.19    0.00    2.97   56.7  604.9    0.1    0.4    2.69    0.01   -1.54
54545.893  2008-03-20  21:26  0.994  -7.19    0.00    2.97   56.7  604.8    0.1    0.4    2.69    0.01   -1.54
54545.895  2008-03-20  21:29  0.994  -7.19    0.00    2.98   56.7  604.7    0.2    0.4    2.69    0.01   -1.54
54545.897  2008-03-20  21:32  0.994  -7.19    0.00    2.98   56.6  604.6    0.2    0.4    2.69    0.01   -1.54
54545.900  2008-03-20  21:35  0.994  -7.19    0.00    2.98   56.6  604.4    0.2    0.4    2.69    0.01   -1.54
54545.902  2008-03-20  21:38  0.994  -7.19    0.00    2.98   56.6  604.3    0.2    0.3    2.69    0.01   -1.54
54545.904  2008-03-20  21:41  0.994  -7.19    0.00    2.98   56.6  604.2    0.2    0.3    2.69    0.01   -1.54
54545.906  2008-03-20  21:44  0.994  -7.19    0.00    2.98   56.6  604.1    0.2    0.3    2.69    0.01   -1.54
54545.908  2008-03-20  21:47  0.994  -7.19    0.00    2.98   56.6  604.0    0.2    0.3    2.69    0.01   -1.54
54545.910  2008-03-20  21:50  0.994  -7.19    0.00    2.99   56.6  603.9    0.2    0.3    2.69    0.01   -1.54
